Area Type,Area Name,Year,Month,Industry Title,Industry Current Employment,Regional Labor Force,Regional Employment,Regional Unemployment,Regional Unemployment Rate
State,California,2016,August,Fabricated Metal Product Mfg,130600,19044900,17969200,1075700,5.6
State,California,2016,August,Primary Metal Manufacturing,17400,19044900,17969200,1075700,5.6
State,California,2016,August,Other Wood Product Mfg.,17100,19044900,17969200,1075700,5.6
State,California,2016,August,Durable Goods,828100,19044900,17969200,1075700,5.6
State,California,2016,August,Building Finishing Contractors,132700,19044900,17969200,1075700,5.6
State,California,2016,August," Highway, Street, and Bridge Construction",25700,19044900,17969200,1075700,5.6
State,California,2016,August, Heavy and Civil Engineering Construction,83800,19044900,17969200,1075700,5.6
State,California,2016,August,Residential Building Construction,105200,19044900,17969200,1075700,5.6
State,California,2016,August,Construction,799700,19044900,17969200,1075700,5.6
State,California,2016,August,Mining,19900,19044900,17969200,1075700,5.6
State,California,2016,August,Goods Producing,2153700,19044900,17969200,1075700,5.6
State,California,2016,August,Oil & Gas Extraction,5600,19044900,17969200,1075700,5.6
State,California,2016,August, Auto Equipment Rental and Leasing,24100,19044900,17969200,1075700,5.6
State,California,2016,August,Activities Related to Real Estate,103700,19044900,17969200,1075700,5.6
State,California,2016,August, Offices of Real Estate Agents and Brokers,47300,19044900,17969200,1075700,5.6
State,California,2016,August," Agencies, Broker and Other Insurance Related Activities",117700,19044900,17969200,1075700,5.6
State,California,2016,August,Comm & Industrial Mach Rental & Leasing,19200,19044900,17969200,1075700,5.6
State,California,2016,August,General Rental Centers,3500,19044900,17969200,1075700,5.6
State,California,2016,August,Real Estate,214500,19044900,17969200,1075700,5.6
State,California,2016,August,Nondepository Credit Intermediation,65500,19044900,17969200,1075700,5.6
State,California,2016,August, Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,249400,19044900,17969200,1075700,5.6
State,California,2016,August, Finance and Insurance,548000,19044900,17969200,1075700,5.6
State,California,2016,August,Metalworking Machinery Mfg.,12000,19044900,17969200,1075700,5.6
State,California,2016,August,Commercial and Service Industry Manufact,12300,19044900,17969200,1075700,5.6
State,California,2016,August," Architectural, Engineering, and Related Services",171500,19044900,17969200,1075700,5.6
State,California,2016,August,Machinery Manufacturing,74300,19044900,17969200,1075700,5.6
State,California,2016,August,Architectural & Structural Metals Mfg.,31400,19044900,17969200,1075700,5.6
State,California,2016,August,Nonmetallic Mineral Product Mfg.,31900,19044900,17969200,1075700,5.6
State,California,2016,August,Industrial Machinery Manufacturing,16900,19044900,17969200,1075700,5.6
State,California,2016,August,"Management, Scientific and Technical Con",200100,19044900,17969200,1075700,5.6
State,California,2016,August, Computer Systems Design and Related Services,298700,19044900,17969200,1075700,5.6
State,California,2016,August,Securities & Commodity Contracts,34900,19044900,17969200,1075700,5.6
State,California,2016,August, Financial Investments and Related Activities including Financial Vehicles,94300,19044900,17969200,1075700,5.6
State,California,2016,August,Activities Related to Credit Intermediat,40900,19044900,17969200,1075700,5.6
State,California,2016,August, Depository Credit Intermediation including Monetary Authorities - Central Bank,143000,19044900,17969200,1075700,5.6
State,California,2016,August, Financial Activities,829600,19044900,17969200,1075700,5.6
State,California,2016,August, Wired Telecommunications Carriers,55300,19044900,17969200,1075700,5.6
State,California,2016,August," Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",59500,19044900,17969200,1075700,5.6
State,California,2016,August,Insurance Carriers,86600,19044900,17969200,1075700,5.6
State,California,2016,August, Insurance Carriers and Related Activities,204300,19044900,17969200,1075700,5.6
State,California,2016,August, Mining and Logging,22300,19044900,17969200,1075700,5.6
State,California,2016,August, Other Specialty Trade Contractors,64300,19044900,17969200,1075700,5.6
State,California,2016,August,Nonresidential Building Construction,74700,19044900,17969200,1075700,5.6
State,California,2016,August,Logging,2400,19044900,17969200,1075700,5.6
State,California,2016,August,Manufacturing,1331600,19044900,17969200,1075700,5.6
State,California,2016,August,Support Activities for Mining,9100,19044900,17969200,1075700,5.6
State,California,2016,August," Mining, Logging and Construction",822100,19044900,17969200,1075700,5.6
State,California,2016,August, Radio and Television Broadcasting Stations,14200,19044900,17969200,1075700,5.6
State,California,2016,August,Social Advocacy Organizations,24300,19044900,17969200,1075700,5.6
State,California,2016,August,Indian Tribes,60300,19044900,17969200,1075700,5.6
State,California,2016,August, Service-Providing,14315700,19044900,17969200,1075700,5.6
State,California,2016,August, Plastics and Rubber Products Manufacturing,44600,19044900,17969200,1075700,5.6
State,California,2016,August, Repair and Maintenance,157900,19044900,17969200,1075700,5.6
State,California,2016,August,Religious Organizations,90100,19044900,17969200,1075700,5.6
State,California,2016,August,Personal Care Serv.,79900,19044900,17969200,1075700,5.6
State,California,2016,August, Publishing Industries,111100,19044900,17969200,1075700,5.6
State,California,2016,August,Individual and Family Services,597100,19044900,17969200,1075700,5.6
State,California,2016,August, Limited-Service Restaurants and Other Eating Places,645000,19044900,17969200,1075700,5.6
State,California,2016,August, Food Services and Drinking Places,1398900,19044900,17969200,1075700,5.6
State,California,2016,August,Accommodation,229700,19044900,17969200,1075700,5.6
State,California,2016,August," Amusement, Gambling, and Recreation Industries",214700,19044900,17969200,1075700,5.6
State,California,2016,August, Software Publishers,75800,19044900,17969200,1075700,5.6
State,California,2016,August," Religious, Grantmaking, Civic, Professional, and Similar Organizations",223600,19044900,17969200,1075700,5.6
State,California,2016,August,Grantmaking & Giving Serv.,23600,19044900,17969200,1075700,5.6
State,California,2016,August,Other Personal Services,50200,19044900,17969200,1075700,5.6
State,California,2016,August,Auto Repair & Maintenance,119100,19044900,17969200,1075700,5.6
State,California,2016,August,Special Food Services,70900,19044900,17969200,1075700,5.6
State,California,2016,August, Personal and Laundry Services,175900,19044900,17969200,1075700,5.6
State,California,2016,August,Personal & Household Goods Repair,8900,19044900,17969200,1075700,5.6
State,California,2016,August,Other Services,557400,19044900,17969200,1075700,5.6
State,California,2016,August,Drinking Places (Alcoholic Beverages),31100,19044900,17969200,1075700,5.6
State,California,2016,August,Other Amusement and Recreation,147500,19044900,17969200,1075700,5.6
State,California,2016,August,Full-Service Restaurants,651900,19044900,17969200,1075700,5.6
State,California,2016,August,Drycleaning & Laundry Serv.,34900,19044900,17969200,1075700,5.6
State,California,2016,August,Commercial & Industrial Machinery,18700,19044900,17969200,1075700,5.6
State,California,2016,August,Spectator Sports,18100,19044900,17969200,1075700,5.6
State,California,2016,August, Leisure and Hospitality,1942400,19044900,17969200,1075700,5.6
State,California,2016,August,"Community Food & Housing, & Emergency &",19600,19044900,17969200,1075700,5.6
State,California,2016,August,Support Activities for Transportation,103000,19044900,17969200,1075700,5.6
State,California,2016,August,Freight transp. Arrangement,30500,19044900,17969200,1075700,5.6
State,California,2016,August,Social Assistance,720100,19044900,17969200,1075700,5.6
State,California,2016,August, Couriers and Messengers,78900,19044900,17969200,1075700,5.6
State,California,2016,August,"Museums, Historical Sites, and Similar I",19500,19044900,17969200,1075700,5.6
State,California,2016,August,"Performing Arts, Spectator Sports",79600,19044900,17969200,1075700,5.6
State,California,2016,August," Arts, Entertainment, and Recreation",313800,19044900,17969200,1075700,5.6
State,California,2016,August,Vocational Rehabilitation Services,35300,19044900,17969200,1075700,5.6
State,California,2016,August,Motion Picture & Video Industries,168700,19044900,17969200,1075700,5.6
State,California,2016,August, Information,536200,19044900,17969200,1075700,5.6
State,California,2016,August,Scheduled Air transp.,48500,19044900,17969200,1075700,5.6
State,California,2016,August, Used Merchandise Retailers,19500,19044900,17969200,1075700,5.6
State,California,2016,August, Book Retailers and News Dealers,10500,19044900,17969200,1075700,5.6
State,California,2016,August, Accommodation and Food Services,1628600,19044900,17969200,1075700,5.6
State,California,2016,August,Gambling Industries,16200,19044900,17969200,1075700,5.6
State,California,2016,August,Amusement Parks and Arcades,51000,19044900,17969200,1075700,5.6
State,California,2016,August,Child Day Care Services,68100,19044900,17969200,1075700,5.6
State,California,2016,August,Other Residential Care Facilities,13300,19044900,17969200,1075700,5.6
State,California,2016,August,Comm Care Facilities for the Elderly,91000,19044900,17969200,1075700,5.6
State,California,2016,August,"Independent Artists, Writers, and Perfor",14400,19044900,17969200,1075700,5.6
State,California,2016,August,Performing Arts Companies,14900,19044900,17969200,1075700,5.6
State,California,2016,August,Hospitals,390700,19044900,17969200,1075700,5.6
State,California,2016,August,Motion Picture & Video Production,136000,19044900,17969200,1075700,5.6
State,California,2016,August, Gasoline Stations and Fuel Dealers,62900,19044900,17969200,1075700,5.6
State,California,2016,August, Health and Personal Care Retailers,116800,19044900,17969200,1075700,5.6
State,California,2016,August, Transportation and Warehousing,543700,19044900,17969200,1075700,5.6
State,California,2016,August, Clothing and Clothing Accessories Retailers,151000,19044900,17969200,1075700,5.6
State,California,2016,August,Total Nonfarm,16469400,19044900,17969200,1075700,5.6
State,California,2016,August," Sporting Goods, Hobby, and Musical Instrument Retailers",55700,19044900,17969200,1075700,5.6
State,California,2016,August," Warehouse Clubs, Supercenters, and Other General Merchandise Retailers",178200,19044900,17969200,1075700,5.6
State,California,2016,August," Newspaper, Periodical, Book, and Directory Publishers",35300,19044900,17969200,1075700,5.6
State,California,2016,August,Support Activities for Road transp.,15100,19044900,17969200,1075700,5.6
State,California,2016,August,Support Activities for Water transp.,23300,19044900,17969200,1075700,5.6
State,California,2016,August, Transit and Ground Passenger Transportation,45500,19044900,17969200,1075700,5.6
State,California,2016,August,General Freight Trucking,82500,19044900,17969200,1075700,5.6
State,California,2016,August,Natural Gas Distribution,35100,19044900,17969200,1075700,5.6
State,California,2016,August, Other Miscellaneous Retailers,44600,19044900,17969200,1075700,5.6
State,California,2016,August," Office Supplies, Stationery, and Gift Retailers",33600,19044900,17969200,1075700,5.6
State,California,2016,August, Department Stores,129700,19044900,17969200,1075700,5.6
State,California,2016,August,Total Wage and Salary,16948600,19044900,17969200,1075700,5.6
State,California,2016,August," Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",196100,19044900,17969200,1075700,5.6
State,California,2016,August,Total Farm,479200,19044900,17969200,1075700,5.6
State,California,2016,August," Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",165900,19044900,17969200,1075700,5.6
State,California,2016,August," Jewelry, Luggage, and Leather Goods Retailers",15700,19044900,17969200,1075700,5.6
State,California,2016,August,Motion Picture and Sound Recording,172800,19044900,17969200,1075700,5.6
State,California,2016,August, Warehousing and Storage,113100,19044900,17969200,1075700,5.6
State,California,2016,August,Specialized Freight Trucking,42900,19044900,17969200,1075700,5.6
State,California,2016,August,Truck Transportation,125400,19044900,17969200,1075700,5.6
State,California,2016,August,Air Transportation,52800,19044900,17969200,1075700,5.6
State,California,2016,August,"Electric Power Gen, Trans & Distribution",19400,19044900,17969200,1075700,5.6
State,California,2016,August,Utilities,59600,19044900,17969200,1075700,5.6
State,California,2016,August," Transportation, Warehousing, and Utilities",603300,19044900,17969200,1075700,5.6
State,California,2016,August,Private Service Providing,11902500,19044900,17969200,1075700,5.6
State,California,2016,August,Furniture & Home Furnish Merch whole,21800,19044900,17969200,1075700,5.6
State,California,2016,August,Motor Vehicle and Motor Vehicle Parts Me,39700,19044900,17969200,1075700,5.6
State,California,2016,August,Electrical and Electronic Goods Merchant,51200,19044900,17969200,1075700,5.6
State,California,2016,August,Lumber & Other Const. Mat Merch whole,22300,19044900,17969200,1075700,5.6
State,California,2016,August,Chemical & Allied Products Merchant whol,14400,19044900,17969200,1075700,5.6
State,California,2016,August,Grocery & Related Products Merchant whol,107700,19044900,17969200,1075700,5.6
State,California,2016,August,"Merchant Wholesalers, Nondurable Goods",289200,19044900,17969200,1075700,5.6
State,California,2016,August,"Hdwr, Plumb & Heating Merchant whole",26900,19044900,17969200,1075700,5.6
State,California,2016,August, Furniture Retailers,21300,19044900,17969200,1075700,5.6
State,California,2016,August,Specialty Food Stores,29100,19044900,17969200,1075700,5.6
State,California,2016,August,Grocery Stores,320400,19044900,17969200,1075700,5.6
State,California,2016,August,Building Material and Supplies Dealers,112600,19044900,17969200,1075700,5.6
State,California,2016,August,Professional and Commercial Equipment Me,86400,19044900,17969200,1075700,5.6
State,California,2016,August, Building Material and Garden Equipment and Supplies Dealers,124000,19044900,17969200,1075700,5.6
State,California,2016,August, Motor Vehicle and Parts Dealers,201000,19044900,17969200,1075700,5.6
State,California,2016,August,Retail Trade,1660600,19044900,17969200,1075700,5.6
State,California,2016,August,Wholesale Trade,697900,19044900,17969200,1075700,5.6
State,California,2016,August," Trade, Transportation, and Utilities",2961800,19044900,17969200,1075700,5.6
State,California,2016,August,"Soap, Cleaning Compound & Toiletry Mfg.",12000,19044900,17969200,1075700,5.6
State,California,2016,August, Misc Nondurable Goods Merchant Wholesalers,49500,19044900,17969200,1075700,5.6
State,California,2016,August,Paper & Paper Products Merchant whole,15500,19044900,17969200,1075700,5.6
State,California,2016,August,"Merchant Wholesalers, Durable Goods",357700,19044900,17969200,1075700,5.6
State,California,2016,August,"Machinery, Equipment and Supplies Mercha",54100,19044900,17969200,1075700,5.6
State,California,2016,August, Home Furnishings Retailers,34200,19044900,17969200,1075700,5.6
State,California,2016,August, General Merchandise Retailers,307900,19044900,17969200,1075700,5.6
State,California,2016,August,"Automotive Parts, Accessories and Tire S",55000,19044900,17969200,1075700,5.6
State,California,2016,August, Electronics and Appliance Retailers,64600,19044900,17969200,1075700,5.6
State,California,2016,August,Wholesale Electronic Markets and Agents,51000,19044900,17969200,1075700,5.6
State,California,2016,August,"Beer, Wine, & Liquor Stores",16400,19044900,17969200,1075700,5.6
State,California,2016,August,Other Motor Vehicle Dealers,12700,19044900,17969200,1075700,5.6
State,California,2016,August," Furniture, Home Furnishings, Electronics, and Appliance Retailers",120100,19044900,17969200,1075700,5.6
State,California,2016,August,Automobile Dealers,133300,19044900,17969200,1075700,5.6
State,California,2016,August,"Apparel, Piece Gds & Notions Merch whole",40400,19044900,17969200,1075700,5.6
State,California,2016,August, Food and Beverage Retailers,365900,19044900,17969200,1075700,5.6
State,California,2016,September, Petroleum and Coal Products Manufacturing,13800,19138800,18110300,1028500,5.4
State,California,2016,September,Chemical Manufacturing,80500,19138800,18110300,1028500,5.4
State,California,2016,September,Federal Government,249900,19138800,18110300,1028500,5.4
State,California,2016,September, Printing and Related Support Activities,41300,19138800,18110300,1028500,5.4
State,California,2016,September,State Government,505200,19138800,18110300,1028500,5.4
State,California,2016,September, Special Districts plus Tribes,128400,19138800,18110300,1028500,5.4
State,California,2016,September,Advertising and Related Services,66500,19138800,18110300,1028500,5.4
State,California,2016,September, Waste Management and Remediation Services,48500,19138800,18110300,1028500,5.4
State,California,2016,September,Elementary and Secondary Schools,92000,19138800,18110300,1028500,5.4
State,California,2016,September,Other Schools & Instruction,62900,19138800,18110300,1028500,5.4
State,California,2016,September,Residential Intellectual & Developmental Disability,52400,19138800,18110300,1028500,5.4
State,California,2016,September, Computer and Peripheral Equipment Manufacturing,73100,19138800,18110300,1028500,5.4
State,California,2016,September,Electronic Computer Manufacturing,60600,19138800,18110300,1028500,5.4
State,California,2016,September,Communications Equipment Manufacturing,19800,19138800,18110300,1028500,5.4
State,California,2016,September,Semiconductor and Electronic Component M,87600,19138800,18110300,1028500,5.4
State,California,2016,September, Ship and Boat Building,9300,19138800,18110300,1028500,5.4
State,California,2016,September,Medical Equipment & Supplies Mfg.,54400,19138800,18110300,1028500,5.4
State,California,2016,September,Fruit & Vegetable Preserving & Specialty,36800,19138800,18110300,1028500,5.4
State,California,2016,September,Apparel Knitting Mills,1400,19138800,18110300,1028500,5.4
State,California,2016,September, Cut and Sew Apparel Manufacturing,43200,19138800,18110300,1028500,5.4
State,California,2016,September,Converted Paper Product Mfg.,20800,19138800,18110300,1028500,5.4
State,California,2016,September,Motor Vehicle Mfg.,9900,19138800,18110300,1028500,5.4
State,California,2016,September, Pharmaceutical and Medicine Manufacturing,46900,19138800,18110300,1028500,5.4
State,California,2016,September,ResidualOther General Purpose Machinery,16000,19138800,18110300,1028500,5.4
State,California,2016,September, Computer and Electronic Product Manufacturing,272000,19138800,18110300,1028500,5.4
State,California,2016,September,Bare Printed Circuit Board Manufacturing,8000,19138800,18110300,1028500,5.4
State,California,2016,September,Transportation Equipment Manufacturing,122100,19138800,18110300,1028500,5.4
State,California,2016,September,Offices of Physicians,238300,19138800,18110300,1028500,5.4
State,California,2016,September, Administrative and Support and Waste Management and Remediation Services,1108800,19138800,18110300,1028500,5.4
State,California,2016,September,Office Administrative Services,74400,19138800,18110300,1028500,5.4
State,California,2016,September,Facilities Support Serv.,12000,19138800,18110300,1028500,5.4
State,California,2016,September,Business Support Services,59400,19138800,18110300,1028500,5.4
State,California,2016,September,Electronic Instrument Manufacturing,81000,19138800,18110300,1028500,5.4
State,California,2016,September, Aerospace Product and Parts Manufacturing,78800,19138800,18110300,1028500,5.4
State,California,2016,September, Household and Institutional Furniture and Kitchen Cabinet Manufacturing,23000,19138800,18110300,1028500,5.4
State,California,2016,September, Bakeries and Tortilla Manufacturing,43200,19138800,18110300,1028500,5.4
State,California,2016,September,Other Food Mfg.,35800,19138800,18110300,1028500,5.4
State,California,2016,September, Beverage and Tobacco Product Manufacturing,61800,19138800,18110300,1028500,5.4
State,California,2016,September,Civic & Social Organizations,41400,19138800,18110300,1028500,5.4
State,California,2016,September,Offices of Dentists,126900,19138800,18110300,1028500,5.4
State,California,2016,September,Outpatient Care Centers,195600,19138800,18110300,1028500,5.4
State,California,2016,September,Home Health Care Serv.,84100,19138800,18110300,1028500,5.4
State,California,2016,September,General Medical & Surgical Hosp.s,367700,19138800,18110300,1028500,5.4
State,California,2016,September,"Specialty (not Psych, Sub Abuse) Hosp.",17200,19138800,18110300,1028500,5.4
State,California,2016,September,"Bus,Labor, Political & Other like Org.",43300,19138800,18110300,1028500,5.4
State,California,2016,September, State Government Educational Services,238900,19138800,18110300,1028500,5.4
State,California,2016,September, Local Government Educational Services,938100,19138800,18110300,1028500,5.4
State,California,2016,September, City Government,264900,19138800,18110300,1028500,5.4
State,California,2016,September,Junior Colleges,2700,19138800,18110300,1028500,5.4
State,California,2016,September," Private Colleges, Universities, and Professional Schools",147400,19138800,18110300,1028500,5.4
State,California,2016,September, Services to Buildings and Dwellings,232600,19138800,18110300,1028500,5.4
State,California,2016,September, Private Education and Health Services,2557100,19138800,18110300,1028500,5.4
State,California,2016,September, Administrative and Support Services,1060300,19138800,18110300,1028500,5.4
State,California,2016,September,Employment Services,479400,19138800,18110300,1028500,5.4
State,California,2016,September, Federal Government excluding Department of Defense,189100,19138800,18110300,1028500,5.4
State,California,2016,September, Total State and Local Government,2243400,19138800,18110300,1028500,5.4
State,California,2016,September,Local Government,1738200,19138800,18110300,1028500,5.4
State,California,2016,September, Management of Companies and Enterprises,240200,19138800,18110300,1028500,5.4
State,California,2016,September,Semiconductor and Related Devices Manufa,47200,19138800,18110300,1028500,5.4
State,California,2016,September,Electrical Equipment and Appliance Manuf,31200,19138800,18110300,1028500,5.4
State,California,2016,September, Furniture and Related Product Manufacturing,36100,19138800,18110300,1028500,5.4
State,California,2016,September,Miscellaneous Durable Goods Manufacturing,84700,19138800,18110300,1028500,5.4
State,California,2016,September,Other Miscellaneous Durable Goods Mfg.,30300,19138800,18110300,1028500,5.4
State,California,2016,September, Non-Durable Goods,502300,19138800,18110300,1028500,5.4
State,California,2016,September, Food Manufacturing,172100,19138800,18110300,1028500,5.4
State,California,2016,September,Dairy Product Manufacturing,18300,19138800,18110300,1028500,5.4
State,California,2016,September, Animal Slaughtering and Processing,22100,19138800,18110300,1028500,5.4
State,California,2016,September,ResidualTextile Mills,7200,19138800,18110300,1028500,5.4
State,California,2016,September,Textile Product Mills,8800,19138800,18110300,1028500,5.4
State,California,2016,September,Apparel Manufacturing,47400,19138800,18110300,1028500,5.4
State,California,2016,September,Paper Manufacturing,22200,19138800,18110300,1028500,5.4
State,California,2016,September, Nursing and Residential Care Facilities,294500,19138800,18110300,1028500,5.4
State,California,2016,September,Other Ambulatory Health Care Serv.,28700,19138800,18110300,1028500,5.4
State,California,2016,September,Psychiatric & Substance Abuse Hosp,7800,19138800,18110300,1028500,5.4
State,California,2016,September,Medical & Diagnostic Laboratories,34600,19138800,18110300,1028500,5.4
State,California,2016,September,Nursing Care Facilities,138000,19138800,18110300,1028500,5.4
State,California,2016,September,Offices of Other Health Practitioners,85700,19138800,18110300,1028500,5.4
State,California,2016,September,ResidualOther Support Services,31100,19138800,18110300,1028500,5.4
State,California,2016,September, Private Educational Services,347600,19138800,18110300,1028500,5.4
State,California,2016,September, Health Care and Social Assistance,2209500,19138800,18110300,1028500,5.4
State,California,2016,September, Ambulatory Health Care Services,793900,19138800,18110300,1028500,5.4
State,California,2016,September, Scientific Research and Development Services,125500,19138800,18110300,1028500,5.4
State,California,2016,September,"Other Professional, Scientific and Techn",72200,19138800,18110300,1028500,5.4
State,California,2016,September,Travel Arrangement and Reservation Servi,26100,19138800,18110300,1028500,5.4
State,California,2016,September, Investigation and Security Services,145300,19138800,18110300,1028500,5.4
State,California,2016,September,Department of Defense,60800,19138800,18110300,1028500,5.4
State,California,2016,September,Government,2493300,19138800,18110300,1028500,5.4
State,California,2016,September, County Government,346400,19138800,18110300,1028500,5.4
State,California,2016,September, State Government Excluding Education,266300,19138800,18110300,1028500,5.4
State,California,2016,September, Local Government Excluding Educational Services,800100,19138800,18110300,1028500,5.4
State,California,2016,September, Furniture and Home Furnishings Retailers,55400,19138800,18110300,1028500,5.4
State,California,2016,September,Specialized Design Services,23300,19138800,18110300,1028500,5.4
State,California,2016,September,Consumer Goods Rental,17200,19138800,18110300,1028500,5.4
State,California,2016,September,Utility System Const.,44100,19138800,18110300,1028500,5.4
State,California,2016,September,L& Subdivision,7600,19138800,18110300,1028500,5.4
State,California,2016,September,"Mining, except Oil & Gas",5300,19138800,18110300,1028500,5.4
State,California,2016,September,Construction of Buildings,177700,19138800,18110300,1028500,5.4
State,California,2016,September, Other Heavy and Civil Engineering Construction,7900,19138800,18110300,1028500,5.4
State,California,2016,September,Legal Services,138200,19138800,18110300,1028500,5.4
State,California,2016,September,Specialty Trade Contractors,535500,19138800,18110300,1028500,5.4
State,California,2016,September," Foundation, Structure, and Building Exterior Contractors",113900,19138800,18110300,1028500,5.4
State,California,2016,September,Building Equipment Contractors,224100,19138800,18110300,1028500,5.4
State,California,2016,September,Wood Product Manufacturing,24200,19138800,18110300,1028500,5.4
State,California,2016,September,Other Fabricated Metal Product Mfg.,18200,19138800,18110300,1028500,5.4
State,California,2016,September,Other Financial Investment Activities,58500,19138800,18110300,1028500,5.4
State,California,2016,September,Lessors of Real Estate,63000,19138800,18110300,1028500,5.4
State,California,2016,September, Rental and Leasing Services,64600,19138800,18110300,1028500,5.4
State,California,2016,September, Real Estate and Rental and Leasing,280400,19138800,18110300,1028500,5.4
State,California,2016,September, Professional and Business Services,2555300,19138800,18110300,1028500,5.4
State,California,2016,September," Professional, Scientific, and Technical Services",1206300,19138800,18110300,1028500,5.4
State,California,2016,September,"Accounting, Tax Preparation and Bookkeep",118500,19138800,18110300,1028500,5.4
State,California,2016,September,Primary Metal Manufacturing,17400,19138800,18110300,1028500,5.4
State,California,2016,September,Fabricated Metal Product Mfg,130600,19138800,18110300,1028500,5.4
State,California,2016,September,Machine Shops & Threaded Product Mfg.,42600,19138800,18110300,1028500,5.4
State,California,2016,September,Total Private,14057700,19138800,18110300,1028500,5.4
State,California,2016,September, Broadcasting and Content Providers,73700,19138800,18110300,1028500,5.4
State,California,2016,September,Telecommunications,80700,19138800,18110300,1028500,5.4
State,California,2016,September,"Data Processing, Hosting & Related Services",42600,19138800,18110300,1028500,5.4
State,California,2016,September," Web Search Portals, Libraries, Archives, and Other ",54900,19138800,18110300,1028500,5.4
State,California,2016,September,Residential Building Construction,103700,19138800,18110300,1028500,5.4
State,California,2016,September, Heavy and Civil Engineering Construction,84700,19138800,18110300,1028500,5.4
State,California,2016,September," Highway, Street, and Bridge Construction",25100,19138800,18110300,1028500,5.4
State,California,2016,September,Building Finishing Contractors,132900,19138800,18110300,1028500,5.4
State,California,2016,September,Durable Goods,824300,19138800,18110300,1028500,5.4
State,California,2016,September,Other Wood Product Mfg.,17100,19138800,18110300,1028500,5.4
State,California,2016,September,Goods Producing,2146700,19138800,18110300,1028500,5.4
State,California,2016,September,Mining,19900,19138800,18110300,1028500,5.4
State,California,2016,September,Construction,797900,19138800,18110300,1028500,5.4
State,California,2016,September, Auto Equipment Rental and Leasing,24000,19138800,18110300,1028500,5.4
State,California,2016,September,Oil & Gas Extraction,5500,19138800,18110300,1028500,5.4
State,California,2016,September," Agencies, Broker and Other Insurance Related Activities",117200,19138800,18110300,1028500,5.4
State,California,2016,September, Offices of Real Estate Agents and Brokers,46700,19138800,18110300,1028500,5.4
State,California,2016,September,Activities Related to Real Estate,103400,19138800,18110300,1028500,5.4
State,California,2016,September,Nondepository Credit Intermediation,65500,19138800,18110300,1028500,5.4
State,California,2016,September,Real Estate,213100,19138800,18110300,1028500,5.4
State,California,2016,September,General Rental Centers,3500,19138800,18110300,1028500,5.4
State,California,2016,September,Comm & Industrial Mach Rental & Leasing,19900,19138800,18110300,1028500,5.4
State,California,2016,September, Computer Systems Design and Related Services,293500,19138800,18110300,1028500,5.4
State,California,2016,September,"Management, Scientific and Technical Con",198500,19138800,18110300,1028500,5.4
State,California,2016,September,Industrial Machinery Manufacturing,17000,19138800,18110300,1028500,5.4
State,California,2016,September,Nonmetallic Mineral Product Mfg.,31900,19138800,18110300,1028500,5.4
State,California,2016,September,Architectural & Structural Metals Mfg.,31500,19138800,18110300,1028500,5.4
State,California,2016,September,Machinery Manufacturing,74100,19138800,18110300,1028500,5.4
State,California,2016,September," Architectural, Engineering, and Related Services",170100,19138800,18110300,1028500,5.4
State,California,2016,September,Commercial and Service Industry Manufact,12400,19138800,18110300,1028500,5.4
State,California,2016,September,Metalworking Machinery Mfg.,12000,19138800,18110300,1028500,5.4
State,California,2016,September, Finance and Insurance,545200,19138800,18110300,1028500,5.4
State,California,2016,September, Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,249000,19138800,18110300,1028500,5.4
State,California,2016,September, Radio and Television Broadcasting Stations,14200,19138800,18110300,1028500,5.4
State,California,2016,September," Mining, Logging and Construction",820100,19138800,18110300,1028500,5.4
State,California,2016,September,Support Activities for Mining,9100,19138800,18110300,1028500,5.4
State,California,2016,September,Manufacturing,1326600,19138800,18110300,1028500,5.4
State,California,2016,September,Logging,2300,19138800,18110300,1028500,5.4
State,California,2016,September,Nonresidential Building Construction,74000,19138800,18110300,1028500,5.4
State,California,2016,September, Other Specialty Trade Contractors,64600,19138800,18110300,1028500,5.4
State,California,2016,September, Mining and Logging,22200,19138800,18110300,1028500,5.4
State,California,2016,September, Insurance Carriers and Related Activities,203800,19138800,18110300,1028500,5.4
State,California,2016,September,Insurance Carriers,86600,19138800,18110300,1028500,5.4
State,California,2016,September," Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",59500,19138800,18110300,1028500,5.4
State,California,2016,September, Wired Telecommunications Carriers,55100,19138800,18110300,1028500,5.4
State,California,2016,September, Financial Activities,825600,19138800,18110300,1028500,5.4
State,California,2016,September, Depository Credit Intermediation including Monetary Authorities - Central Bank,142800,19138800,18110300,1028500,5.4
State,California,2016,September,Activities Related to Credit Intermediat,40700,19138800,18110300,1028500,5.4
State,California,2016,September, Financial Investments and Related Activities including Financial Vehicles,92400,19138800,18110300,1028500,5.4
State,California,2016,September,Securities & Commodity Contracts,33900,19138800,18110300,1028500,5.4
State,California,2016,September,Social Advocacy Organizations,24300,19138800,18110300,1028500,5.4
State,California,2016,September,Indian Tribes,60400,19138800,18110300,1028500,5.4
State,California,2016,September, Plastics and Rubber Products Manufacturing,44600,19138800,18110300,1028500,5.4
State,California,2016,September, Service-Providing,14404300,19138800,18110300,1028500,5.4
